Date,Platform,Sentiment,Location,Engagements,Media_Type,Influencer,Brand,Post_Type
2023-12-07,Instagram,Positive,Makassar,17871,Carousel,@genzfoodie,Spirifi,Promo
2023-12-27,TikTok,Neutral,Yogyakarta,9114,Carousel,@genzfoodie,Spirifi,Promo
2023-12-20,Instagram,Positive,Denpasar,12462,Video,@drinkculture,Spirifi,Collab
2023-12-01,Instagram,Neutral,Yogyakarta,8917,Image,@tastebuds.id,Spirifi,Product Launch
2023-12-22,TikTok,Neutral,Yogyakarta,4742,Image,@drinkculture,Spirifi,Collab
2023-12-28,YouTube,Positive,Surabaya,4646,Carousel,@snackattack,Spirifi,Collab
2023-12-16,Instagram,Positive,Jakarta,5206,Carousel,@snackattack,Spirifi,Promo
2023-12-22,Instagram,Neutral,Jakarta,11261,Image,@kulinerhits,Spirifi,Collab
2023-12-31,X/Twitter,Neutral,Surabaya,10275,Video,@drinkculture,Spirifi,Promo
2023-12-18,TikTok,Positive,Jakarta,10754,Text,@kulinerhits,Spirifi,Product Launch
2023-12-06,YouTube,Neutral,Denpasar,909,Image,@snackattack,Spirifi,Promo
2023-12-14,TikTok,Positive,Medan,7675,Text,@drinkculture,Spirifi,Collab
2023-12-27,X/Twitter,Negative,Medan,12577,Carousel,@tastebuds.id,Spirifi,Review
2023-12-13,X/Twitter,Positive,Medan,15931,Video,@kulinerhits,Spirifi,Collab
2023-12-17,X/Twitter,Positive,Surabaya,8269,Text,@drinkculture,Spirifi,Promo
2023-12-07,YouTube,Positive,Makassar,12264,Carousel,@snackattack,Spirifi,Product Launch
2023-12-03,YouTube,Positive,Denpasar,6631,Video,@genzfoodie,Spirifi,Collab
2023-12-27,YouTube,Neutral,Denpasar,13528,Text,@kulinerhits,Spirifi,Promo
2023-12-21,X/Twitter,Positive,Makassar,15058,Text,@kulinerhits,Spirifi,Behind the Scenes
2023-12-14,YouTube,Negative,Jakarta,11938,Text,@kulinerhits,Spirifi,Behind the Scenes
2023-12-11,X/Twitter,Neutral,Yogyakarta,7118,Carousel,@genzfoodie,Spirifi,Promo
2023-12-13,Instagram,Neutral,Surabaya,19056,Video,@genzfoodie,Spirifi,Promo
2023-12-23,YouTube,Neutral,Denpasar,9492,Text,@drinkculture,Spirifi,Review
2023-12-05,X/Twitter,Positive,Denpasar,9678,Carousel,@tastebuds.id,Spirifi,Collab
2023-12-05,Instagram,Neutral,Yogyakarta,13531,Carousel,@genzfoodie,Spirifi,Product Launch
2023-12-17,X/Twitter,Positive,Yogyakarta,15365,Video,@genzfoodie,Spirifi,Review
2023-12-18,Instagram,Neutral,Yogyakarta,11582,Text,@drinkculture,Spirifi,Collab
2023-12-14,Instagram,Positive,Surabaya,10741,Image,@kulinerhits,Spirifi,Behind the Scenes
2023-12-06,Instagram,Positive,Denpasar,7244,Image,@tastebuds.id,Spirifi,Collab
2023-12-30,Instagram,Positive,Medan,17494,Text,@genzfoodie,Spirifi,Promo
2023-12-09,TikTok,Positive,Denpasar,10175,Text,@tastebuds.id,Spirifi,Review
2023-12-17,Instagram,Neutral,Bandung,9314,Image,@kulinerhits,Spirifi,Collab
2023-12-10,YouTube,Negative,Makassar,18777,Text,@tastebuds.id,Spirifi,Collab
2023-12-05,TikTok,Neutral,Makassar,6908,Image,@snackattack,Spirifi,Collab
2023-12-16,X/Twitter,Positive,Bandung,19195,Carousel,@snackattack,Spirifi,Promo
2023-12-19,Instagram,Negative,Makassar,5580,Image,@genzfoodie,Spirifi,Behind the Scenes
2023-12-21,TikTok,Positive,Yogyakarta,4464,Carousel,@tastebuds.id,Spirifi,Review
2023-12-24,Instagram,Positive,Medan,225,Video,@genzfoodie,Spirifi,Review
2023-12-20,TikTok,Positive,Yogyakarta,17476,Text,@drinkculture,Spirifi,Review
2023-12-07,Instagram,Neutral,Denpasar,7694,Image,@genzfoodie,Spirifi,Product Launch
2023-12-13,X/Twitter,Positive,Bandung,1687,Text,@tastebuds.id,Spirifi,Review
2023-12-18,Instagram,Positive,Denpasar,6592,Carousel,@tastebuds.id,Spirifi,Promo
2023-12-28,YouTube,Positive,Medan,240,Carousel,@tastebuds.id,Spirifi,Review
2023-12-25,TikTok,Positive,Bandung,5369,Video,@genzfoodie,Spirifi,Behind the Scenes
2023-12-01,YouTube,Positive,Medan,2815,Image,@kulinerhits,Spirifi,Product Launch
2023-12-25,YouTube,Positive,Denpasar,9514,Video,@kulinerhits,Spirifi,Promo
2023-12-25,TikTok,Positive,Jakarta,16466,Text,@kulinerhits,Spirifi,Collab
2023-12-05,YouTube,Neutral,Surabaya,14129,Carousel,@snackattack,Spirifi,Promo
2023-12-20,YouTube,Neutral,Medan,9169,Carousel,@drinkculture,Spirifi,Behind the Scenes
2023-12-09,YouTube,Neutral,Jakarta,9836,Video,@snackattack,Spirifi,Collab
2023-12-31,YouTube,Positive,Bandung,16400,Image,@kulinerhits,Spirifi,Collab
2023-12-24,TikTok,Negative,Medan,17211,Carousel,@snackattack,Spirifi,Product Launch
2023-12-28,TikTok,Positive,Bandung,12890,Carousel,@snackattack,Spirifi,Behind the Scenes
2023-12-14,X/Twitter,Positive,Medan,11000,Text,@genzfoodie,Spirifi,Promo
2023-12-04,Instagram,Neutral,Denpasar,4710,Text,@kulinerhits,Spirifi,Product Launch
2023-12-19,TikTok,Positive,Surabaya,14840,Video,@snackattack,Spirifi,Promo
2023-12-23,TikTok,Neutral,Medan,8810,Carousel,@tastebuds.id,Spirifi,Collab
2023-12-07,TikTok,Positive,Makassar,13441,Carousel,@drinkculture,Spirifi,Promo
2023-12-21,YouTube,Positive,Jakarta,10272,Text,@snackattack,Spirifi,Product Launch
2023-12-31,X/Twitter,Positive,Bandung,7758,Video,@kulinerhits,Spirifi,Review
